,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,Ptilotus benlii,Ptilotus benlii R. W. Davis,specificEpithet,0.0,Ptilotus,0.0,benlii,0.0,0.0,R. W. Davis,0.0,R. W. Davis,0.0,0.0,0.0,0.0,0.0,0.0,"Ptilotus benlii R.W.Davis %26 T.Hammer, sp."
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
