,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,Goodenia,0.0,genus,Goodenia,Goodenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goodenia sp.
2,Goodenia asteriscus,Goodenia asteriscus P. J. Lang,specificEpithet,0.0,Goodenia,0.0,asteriscus,0.0,0.0,P. J. Lang,0.0,P. J. Lang,0.0,0.0,0.0,0.0,0.0,0.0,"Goodenia asteriscus P.J.Lang, sp."
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
