,nameUsage,typeOfType,typeName,typificationString
1,0.0,holotype,Manota williamsi,"Holotype. Male, AUSTRALIA, N.S.W., Carrai State Forest, 30°54’33’’S 152°16’26’’E, 1075m, E. Tasker 3.xii–8.xii.1997, sticky trap on Eucalyptus saligna, CS-CR-127-2 (on slide, AMSA: "
2,0.0,0.0,0.0,0.0
