,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,Townesia sulcata,Townesia sulcata Sheng,specificEpithet,0.0,Townesia,0.0,sulcata,0.0,0.0,Sheng,0.0,Sheng,0.0,0.0,0.0,0.0,0.0,0.0,"Townesia sulcata Sheng %26 Li, sp."
2,T. sulcata,T. sulcata Sheng,specificEpithet,0.0,T.,0.0,sulcata,0.0,0.0,Sheng,0.0,Sheng,0.0,0.0,0.0,0.0,0.0,0.0,"T. sulcata Sheng %26 Li, sp."
3,Townesia,0.0,0.0,Townesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Townesia Townesia sulcata Sheng %26 Li, sp."
4,Townesia sulcata,Townesia sulcata Sheng,specificEpithet,0.0,Townesia,0.0,sulcata,0.0,0.0,Sheng,0.0,Sheng,0.0,0.0,0.0,0.0,0.0,0.0,"Townesia sulcata Sheng %26 Li, sp."
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
